DATAFLOW,LAST UPDATE,freq,unit,NUTS2,TIME_PERIOD,POP_DICHTE,OBS_FLAG
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT22,2016,76.0,b
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT22,2017,76.2,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT22,2018,76.4,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT22,2019,76.6,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT31,2008,120.1,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT31,2009,120.2,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT31,2010,120.3,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT31,2011,120.5,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT31,2012,120.9,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT31,2013,121.4,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT31,2014,122.2,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT31,2015,123.4,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT31,2016,124.6,b
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT31,2017,125.4,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT31,2018,126.1,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT31,2019,126.8,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT32,2008,74.6,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT32,2009,74.7,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT32,2010,74.8,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT32,2011,75.0,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT32,2012,75.3,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT32,2013,75.6,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT32,2014,76.1,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT32,2015,76.9,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT32,2016,77.7,b
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT32,2017,78.1,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT32,2018,78.5,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT32,2019,78.9,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT33,2008,56.0,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT33,2009,56.2,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT33,2010,56.4,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT33,2011,56.7,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT33,2012,57.0,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT33,2013,57.5,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT33,2014,58.0,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT33,2015,58.7,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT33,2016,59.3,b
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT33,2017,59.8,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT33,2018,60.2,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT33,2019,60.4,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT34,2008,144.6,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT34,2009,145.1,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT34,2010,145.6,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT34,2011,146.1,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT34,2012,146.7,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT34,2013,147.6,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT34,2014,148.8,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT34,2015,150.5,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT34,2016,152.5,b
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT34,2017,154.0,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT34,2018,155.2,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT34,2019,156.3,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE10,2008,6574.6,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE10,2009,6702.1,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE10,2010,6957.2,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE10,2011,7131.1,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE10,2012,7194.2,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE10,2013,7260.7,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE10,2014,7319.4,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE10,2015,7408.0,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE10,2016,7454.6,b
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE10,2017,7421.6,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE10,2018,7471.5,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE10,2019,7526.7,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE21,2008,617.3,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE21,2009,622.5,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE21,2010,620.7,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE21,2011,637.4,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE21,2012,641.3,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE21,2013,644.7,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE21,2014,648.0,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE21,2015,652.0,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE21,2016,655.9,b
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE21,2017,657.7,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE21,2018,661.6,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE21,2019,665.8,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE22,2008,346.7,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE22,2009,349.1,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE22,2010,352.3,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE22,2011,355.7,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE22,2012,357.4,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE22,2013,358.7,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE22,2014,360.0,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE22,2015,361.9,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE22,2016,363.6,b
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE22,2017,364.5,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE22,2018,365.8,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE22,2019,367.5,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE23,2008,480.1,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE23,2009,484.2,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE23,2010,486.2,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE23,2011,493.1,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE23,2012,495.4,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE23,2013,497.8,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE23,2014,500.4,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE23,2015,503.4,
