DATAFLOW,LAST UPDATE,freq,unit,LAND,TIME_PERIOD,EMISSIONEN,OBS_FLAG
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CZ,2000,100.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CZ,2001,97.7,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CZ,2002,93.9,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CZ,2003,91.9,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CZ,2004,89.4,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CZ,2005,89.7,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CZ,2006,87.8,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CZ,2007,88.6,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CZ,2008,86.4,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CZ,2009,87.3,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CZ,2010,83.6,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CZ,2011,85.3,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CZ,2012,83.1,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CZ,2013,78.5,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CZ,2014,78.7,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CZ,2015,79.5,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CZ,2016,81.2,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CZ,2017,78.5,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CZ,2018,76.5,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CZ,2019,73.8,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,CZ,2020,71.1,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DE,2000,100.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DE,2001,99.5,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DE,2002,99.9,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DE,2003,99.1,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DE,2004,96.5,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DE,2005,94.5,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DE,2006,92.8,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DE,2007,94.6,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DE,2008,94.1,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DE,2009,93.5,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DE,2010,93.2,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DE,2011,95.4,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DE,2012,95.4,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DE,2013,95.4,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DE,2014,94.7,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DE,2015,94.9,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DE,2016,94.6,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DE,2017,91.8,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DE,2018,90.1,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DE,2019,86.1,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DE,2020,84.1,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DK,2000,100.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DK,2001,100.1,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DK,2002,100.9,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DK,2003,104.6,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DK,2004,97.5,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DK,2005,93.3,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DK,2006,100.7,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DK,2007,94.4,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DK,2008,90.9,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DK,2009,91.8,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DK,2010,87.8,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DK,2011,84.3,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DK,2012,78.5,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DK,2013,82.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DK,2014,77.4,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DK,2015,72.9,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DK,2016,74.2,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DK,2017,68.9,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DK,2018,68.6,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DK,2019,63.3,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,DK,2020,62.1,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EE,2000,100.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EE,2001,97.1,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EE,2002,101.9,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EE,2003,106.5,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EE,2004,98.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EE,2005,95.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EE,2006,92.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EE,2007,95.1,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EE,2008,96.6,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EE,2009,101.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EE,2010,99.5,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,EE,2011,101.3,
